date,w1,w2,signal1,signal2
2020-02-18,0.9,0.09999999999999998,5.536261328316227,4.990985579991208
2020-03-10,0.9,0.09999999999999998,-6.918462340597539,-7.294388778805963
2020-03-31,0.9,0.09999999999999998,-8.697170866142965,-9.246015135895686
2020-04-22,0.1,0.9,-0.10014327547205945,1.042586365138282
2020-05-13,0.1,0.9,6.896624460917243,8.451078404388056
2020-06-04,0.1,0.9,13.53603573867719,14.513377723999188
2020-06-25,0.8823004471792579,0.11769955282074207,3.699804571471814,3.4983648288601654
2020-07-17,0.9,0.09999999999999998,2.3432729384013165,1.7819527632054273
2020-08-07,0.8726001353337476,0.12739986466625242,8.112615194576676,7.920200521084792
2020-08-28,0.14991066673984227,0.8500893332601578,7.770660436023156,7.944190624053147
2020-09-21,0.9,0.09999999999999998,0.07115793266347671,-0.8274899424823472
2020-10-12,0.9,0.09999999999999998,-0.02439063987454205,-1.0378854404758147
2020-11-02,0.1,0.9,-2.582335020839402,-1.9457521515053409
2020-11-23,0.1,0.9,0.6163768425643922,3.2132631576207897
2020-12-15,0.1,0.9,21.5039116689221,32.989229746250174
2021-01-07,0.1,0.9,9.874177914136741,14.32281970665106
2021-01-29,0.34082174783464014,0.6591782521653599,3.2446432774085356,3.310606715389448
2021-02-22,0.1,0.9,3.3922979082339584,3.7775116195134295
2021-03-15,0.9,0.09999999999999998,7.1554030143173755,6.044362324200242
2021-04-06,0.9,0.09999999999999998,7.473298136512337,3.845193724160088
2021-04-27,0.9,0.09999999999999998,6.41757698612929,3.8971640831546575
2021-05-18,0.9,0.09999999999999998,5.246316965442432,4.098412885413973
2021-06-09,0.9,0.09999999999999998,5.597420007797663,5.176022240340125
2021-06-30,0.9,0.09999999999999998,4.728467565331375,1.7497034343324358
2021-07-22,0.9,0.09999999999999998,2.98778101753971,0.451252684501684
2021-08-12,0.9,0.09999999999999998,3.2178745876277466,2.913247972055462
2021-09-02,0.416630316293948,0.583369683706052,3.098745205129229,3.13240738455969
2021-09-24,0.9,0.09999999999999998,1.294496405744534,0.7910673582463774
2021-10-15,0.9,0.09999999999999998,1.3780703342589562,0.7224878334363687
2021-11-05,0.1,0.9,5.724937420992241,6.465736486573907
2021-11-29,0.1,0.9,2.2598551883582982,2.558277543718742
2021-12-20,0.1,0.9,-1.9228570902209778,-0.4757193724317885
2022-01-11,0.1,0.9,2.1157280747666594,4.66990586552799
2022-02-02,0.1,0.9,0.7892328499414785,2.7496240781293437
2022-02-24,0.1,0.9,-4.169968847994021,-3.5651379780209975
2022-03-17,0.1,0.9,-0.8578761685937069,0.50485209978651
2022-04-07,0.1,0.9,9.834947056024358,13.608022205365053
2022-04-29,0.9,0.09999999999999998,-0.152826063401521,-0.9559436132452354
2022-05-20,0.9,0.09999999999999998,-4.653337970192807,-6.961786724784752
2022-06-13,0.9,0.09999999999999998,-1.9518477596035604,-4.855617477573164
2022-07-06,0.9,0.09999999999999998,-0.7282432711845274,-1.9139823836574203
2022-07-27,0.9,0.09999999999999998,0.8048345101805828,-0.5889765792336021
2022-08-17,0.9,0.09999999999999998,24.552764460941887,15.807527339086263
2022-09-08,0.9,0.09999999999999998,2.3718443566011644,0.6778947471049055
2022-09-29,0.9,0.09999999999999998,-6.160893741475124,-7.053800755597315
2022-10-20,0.9,0.09999999999999998,-1.139575759672146,-1.5488612912948798
2022-11-10,0.9,0.09999999999999998,6.329612141825487,4.793652537306565
2022-12-02,0.1,0.9,9.768653955591262,11.096134679231177
2022-12-23,0.9,0.09999999999999998,0.6187653283701097,0.3448568071090078
2023-01-18,0.9,0.09999999999999998,-0.2484549319552564,-1.9348172230957692
2023-02-08,0.9,0.09999999999999998,8.483422660888646,5.478147255453171
2023-03-02,0.9,0.09999999999999998,-1.7662403928301222,-2.826285799991218
2023-03-23,0.9,0.09999999999999998,-2.8466243598235534,-4.265185032710118
2023-04-14,0.9,0.09999999999999998,8.330430137067852,6.98687233725088
2023-05-05,0.9,0.09999999999999998,8.036076196040863,6.4238816219241714
2023-05-26,0.9,0.09999999999999998,2.7803477496909053,0.571674098972081
2023-06-20,0.1,0.9,15.409995708233245,16.471315162665093
2023-07-12,0.1,0.9,8.604392377938343,11.157969843163297
2023-08-02,0.9,0.09999999999999998,7.937898674780969,4.958743508238937
2023-08-23,0.9,0.09999999999999998,2.0897961527967133,-0.1407252637034625
2023-09-14,0.9,0.09999999999999998,-0.20224803184659382,-0.46510715650530693
2023-10-05,0.9,0.09999999999999998,-1.0886562169375122,-2.1570234237680834
2023-10-26,0.1,0.9,-4.132050928383884,-3.0805870648938245
2023-11-16,0.1,0.9,5.884443413207816,10.525797720890916
2023-12-08,0.3199231770257025,0.6800768229742975,11.297423252037373,11.372835739194764
2024-01-02,0.9,0.09999999999999998,11.553548598925769,8.475940624583398
2024-01-24,0.9,0.09999999999999998,12.15572185364094,9.802636680546497
2024-02-14,0.1,0.9,6.171177563708106,8.04496469899512
2024-03-07,0.9,0.09999999999999998,10.639801668048639,9.855008313147332
2024-03-28,0.9,0.09999999999999998,23.64876396195347,8.490861110146547
2024-04-19,0.9,0.09999999999999998,-0.2026310361754809,-2.1147037371729898
2024-05-10,0.1,0.9,-1.2700492675931112,0.17171443405271244
2024-06-03,0.1,0.9,3.5024187632458306,8.460168670728875
2024-06-25,0.1,0.9,3.4083997562442967,6.557929205810905
2024-07-17,0.9,0.09999999999999998,15.592133221477594,14.555713816829307
2024-08-07,0.9,0.09999999999999998,-1.9228196473546944,-2.444650560148168
2024-08-28,0.9,0.09999999999999998,1.074027362321787,-0.16673326717307796
2024-09-19,0.9,0.09999999999999998,7.4533061992450165,6.402928757850922
2024-10-10,0.9,0.09999999999999998,3.3122171687530315,2.875653896768911
2024-10-31,0.1,0.9,3.971891512673468,4.762400016716342
2024-11-21,0.1,0.9,6.102462181949168,8.657604188390387
2024-12-13,0.1,0.9,11.457030141235302,13.267295823312903
